Time,Temperature (°C),Humidity (%),Status
15:38:00,30.1,48.0,FAILURE
15:38:03,30.1,48.0,FAILURE
15:38:04,30.1,48.0,FAILURE
15:38:07,30.1,48.0,FAILURE
15:38:09,30.1,48.0,FAILURE
15:38:12,30.1,48.0,FAILURE
15:38:13,30.1,48.0,FAILURE
15:38:16,30.1,48.0,FAILURE
15:38:17,30.1,48.0,FAILURE
15:38:20,30.1,48.0,FAILURE
15:38:21,30.1,48.0,FAILURE
15:38:24,30.1,48.0,FAILURE
15:38:25,30.1,48.0,FAILURE
15:38:28,30.1,47.0,FAILURE
15:38:29,30.1,47.0,FAILURE
15:38:32,30.1,47.0,FAILURE
15:38:33,30.1,47.0,FAILURE
15:38:36,30.1,47.0,FAILURE
15:38:37,30.1,47.0,FAILURE
15:38:40,30.1,47.0,FAILURE
15:38:41,30.1,47.0,FAILURE
15:38:44,30.1,47.0,FAILURE
15:38:45,30.1,47.0,FAILURE
15:38:48,30.1,47.0,FAILURE
15:38:49,30.1,47.0,FAILURE
15:38:52,30.1,47.0,FAILURE
15:38:53,30.1,47.0,FAILURE
15:38:56,30.1,47.0,FAILURE
15:38:57,30.1,47.0,FAILURE
15:39:00,30.1,47.0,FAILURE
15:39:01,30.1,47.0,FAILURE
15:39:04,30.1,47.0,FAILURE
15:39:05,30.1,47.0,FAILURE
15:39:08,30.1,47.0,FAILURE
15:39:09,30.1,48.0,FAILURE
15:39:12,30.1,48.0,FAILURE
15:39:13,30.1,48.0,FAILURE
15:39:16,30.1,48.0,FAILURE
15:39:17,30.1,47.0,FAILURE
15:39:20,30.1,47.0,FAILURE
15:39:22,30.1,47.0,FAILURE
15:39:25,30.1,47.0,FAILURE
15:39:26,30.1,47.0,FAILURE
15:39:29,30.1,47.0,FAILURE
15:39:30,30.1,47.0,FAILURE
15:39:33,30.1,47.0,FAILURE
15:39:34,30.1,47.0,FAILURE
15:39:37,30.1,47.0,FAILURE
15:39:38,30.1,47.0,FAILURE
15:39:41,30.1,47.0,FAILURE
15:39:42,30.1,47.0,FAILURE
15:39:45,30.1,47.0,FAILURE
15:39:46,30.1,47.0,FAILURE
15:39:49,30.1,47.0,FAILURE
15:39:50,30.1,47.0,FAILURE
15:39:53,30.1,47.0,FAILURE
15:39:54,30.0,47.0,FAILURE
15:39:57,30.0,47.0,FAILURE
15:39:58,30.0,47.0,FAILURE
15:40:01,30.0,47.0,FAILURE
15:40:02,30.1,47.0,FAILURE
15:40:05,30.0,47.0,FAILURE
15:40:06,30.0,47.0,FAILURE
15:40:09,30.0,47.0,FAILURE
15:40:10,30.0,47.0,FAILURE
15:40:13,30.0,47.0,FAILURE
15:40:14,30.0,47.0,FAILURE
15:40:17,30.0,47.0,FAILURE
15:40:18,30.0,47.0,FAILURE
15:40:21,30.0,47.0,FAILURE
15:40:22,30.0,47.0,FAILURE
15:40:25,30.0,47.0,FAILURE
15:40:26,30.0,47.0,FAILURE
15:40:29,30.0,47.0,FAILURE
15:40:30,30.0,47.0,FAILURE
15:40:33,30.0,47.0,FAILURE
15:40:34,30.0,47.0,FAILURE
15:40:37,30.0,47.0,FAILURE
15:40:39,30.0,47.0,FAILURE
15:40:42,30.0,47.0,FAILURE
15:40:43,30.0,47.0,FAILURE
15:40:46,30.0,47.0,FAILURE
